id,date,time,name,size,type,price,day_name
1,2015-01-01,11:38,hawaiian,M,classic,13.25,Thursday
2,2015-01-01,11:57,classic_dlx,M,classic,16.0,Thursday
3,2015-01-01,11:57,mexicana,M,veggie,16.0,Thursday
4,2015-01-01,11:57,thai_ckn,L,chicken,20.75,Thursday
5,2015-01-01,11:57,five_cheese,L,veggie,18.5,Thursday
6,2015-01-01,11:57,ital_supr,L,supreme,20.75,Thursday
7,2015-01-01,12:12,prsc_argla,L,supreme,20.75,Thursday
8,2015-01-01,12:12,ital_supr,M,supreme,16.5,Thursday
9,2015-01-01,12:16,ital_supr,M,supreme,16.5,Thursday
10,2015-01-01,12:21,ital_supr,M,supreme,16.5,Thursday
11,2015-01-01,12:29,bbq_ckn,S,chicken,12.75,Thursday
12,2015-01-01,12:29,the_greek,S,classic,12.0,Thursday
13,2015-01-01,12:50,spinach_supr,S,supreme,12.5,Thursday
14,2015-01-01,12:51,spinach_supr,S,supreme,12.5,Thursday
15,2015-01-01,12:52,ital_supr,L,supreme,20.75,Thursday
16,2015-01-01,12:52,mexicana,S,veggie,12.0,Thursday
17,2015-01-01,12:52,spin_pesto,L,veggie,20.75,Thursday
18,2015-01-01,12:52,spicy_ital,L,supreme,20.75,Thursday
19,2015-01-01,12:52,ital_cpcllo,L,classic,20.5,Thursday
20,2015-01-01,12:52,veggie_veg,S,veggie,12.0,Thursday
21,2015-01-01,12:52,green_garden,S,veggie,12.0,Thursday
22,2015-01-01,12:52,classic_dlx,S,classic,12.0,Thursday
23,2015-01-01,12:52,ital_supr,S,supreme,12.5,Thursday
24,2015-01-01,13:00,mexicana,L,veggie,20.25,Thursday
25,2015-01-01,13:00,southw_ckn,L,chicken,20.75,Thursday
26,2015-01-01,13:02,pepperoni,L,classic,15.25,Thursday
27,2015-01-01,13:02,cali_ckn,L,chicken,20.75,Thursday
28,2015-01-01,13:02,cali_ckn,M,chicken,16.75,Thursday
29,2015-01-01,13:02,bbq_ckn,L,chicken,20.75,Thursday
30,2015-01-01,13:04,cali_ckn,S,chicken,12.75,Thursday
31,2015-01-01,13:04,ital_supr,M,supreme,16.5,Thursday
32,2015-01-01,13:04,cali_ckn,L,chicken,20.75,Thursday
33,2015-01-01,13:04,ckn_pesto,L,chicken,20.75,Thursday
34,2015-01-01,13:11,mexicana,L,veggie,20.25,Thursday
35,2015-01-01,13:14,the_greek,S,classic,12.0,Thursday
36,2015-01-01,13:33,big_meat,S,classic,12.0,Thursday
37,2015-01-01,13:33,five_cheese,L,veggie,18.5,Thursday
38,2015-01-01,13:33,soppressata,L,supreme,20.75,Thursday
39,2015-01-01,13:33,the_greek,S,classic,12.0,Thursday
40,2015-01-01,13:34,thai_ckn,L,chicken,20.75,Thursday
41,2015-01-01,13:34,four_cheese,L,veggie,17.95,Thursday
42,2015-01-01,13:34,napolitana,S,classic,12.0,Thursday
43,2015-01-01,13:53,mediterraneo,M,veggie,16.0,Thursday
44,2015-01-01,13:53,bbq_ckn,L,chicken,20.75,Thursday
45,2015-01-01,13:53,ital_supr,M,supreme,16.5,Thursday
46,2015-01-01,13:53,mexicana,L,veggie,20.25,Thursday
47,2015-01-01,13:53,four_cheese,M,veggie,14.75,Thursday
48,2015-01-01,13:53,spinach_fet,L,veggie,20.25,Thursday
49,2015-01-01,13:53,mediterraneo,M,veggie,16.0,Thursday
50,2015-01-01,13:53,five_cheese,L,veggie,18.5,Thursday
51,2015-01-01,13:53,ital_veggie,S,veggie,12.75,Thursday
52,2015-01-01,13:53,calabrese,M,supreme,16.25,Thursday
53,2015-01-01,13:53,peppr_salami,S,supreme,12.5,Thursday
54,2015-01-01,13:57,napolitana,L,classic,20.5,Thursday
55,2015-01-01,13:59,sicilian,L,supreme,20.25,Thursday
56,2015-01-01,13:59,ital_cpcllo,L,classic,20.5,Thursday
57,2015-01-01,14:03,five_cheese,L,veggie,18.5,Thursday
58,2015-01-01,14:03,big_meat,S,classic,12.0,Thursday
59,2015-01-01,14:14,ital_cpcllo,L,classic,20.5,Thursday
60,2015-01-01,14:16,ital_cpcllo,M,classic,16.0,Thursday
61,2015-01-01,14:16,southw_ckn,L,chicken,20.75,Thursday
62,2015-01-01,14:16,five_cheese,L,veggie,18.5,Thursday
63,2015-01-01,14:19,southw_ckn,S,chicken,12.75,Thursday
64,2015-01-01,14:23,ital_cpcllo,M,classic,16.0,Thursday
65,2015-01-01,14:23,pepperoni,M,classic,12.5,Thursday
66,2015-01-01,14:23,prsc_argla,S,supreme,12.5,Thursday
67,2015-01-01,14:23,bbq_ckn,M,chicken,16.75,Thursday
68,2015-01-01,14:44,thai_ckn,L,chicken,20.75,Thursday
69,2015-01-01,14:44,sicilian,M,supreme,16.25,Thursday
70,2015-01-01,14:54,classic_dlx,S,classic,12.0,Thursday
71,2015-01-01,14:54,veggie_veg,L,veggie,20.25,Thursday
72,2015-01-01,15:11,bbq_ckn,L,chicken,20.75,Thursday
73,2015-01-01,15:11,spinach_fet,L,veggie,20.25,Thursday
74,2015-01-01,15:11,classic_dlx,M,classic,16.0,Thursday
75,2015-01-01,15:35,ckn_alfredo,S,chicken,12.75,Thursday
76,2015-01-01,15:41,green_garden,S,veggie,12.0,Thursday
77,2015-01-01,15:41,thai_ckn,L,chicken,20.75,Thursday
78,2015-01-01,15:50,mexicana,M,veggie,16.0,Thursday
79,2015-01-01,15:50,pepperoni,S,classic,9.75,Thursday
80,2015-01-01,15:53,ital_cpcllo,L,classic,20.5,Thursday
81,2015-01-01,15:53,green_garden,L,veggie,20.25,Thursday
82,2015-01-01,15:53,big_meat,S,classic,12.0,Thursday
83,2015-01-01,15:53,ital_supr,M,supreme,16.5,Thursday
84,2015-01-01,15:54,bbq_ckn,L,chicken,20.75,Thursday
85,2015-01-01,15:54,green_garden,S,veggie,12.0,Thursday
86,2015-01-01,16:21,the_greek,S,classic,12.0,Thursday
87,2015-01-01,16:32,pepperoni,M,classic,12.5,Thursday
88,2015-01-01,16:32,pep_msh_pep,L,classic,17.5,Thursday
89,2015-01-01,16:32,thai_ckn,L,chicken,20.75,Thursday
90,2015-01-01,16:32,green_garden,M,veggie,16.0,Thursday
91,2015-01-01,16:54,bbq_ckn,M,chicken,16.75,Thursday
92,2015-01-01,16:54,classic_dlx,M,classic,16.0,Thursday
93,2015-01-01,16:56,mexicana,L,veggie,20.25,Thursday
94,2015-01-01,16:56,ital_supr,L,supreme,20.75,Thursday
95,2015-01-01,17:03,ital_cpcllo,L,classic,20.5,Thursday
96,2015-01-01,17:03,hawaiian,S,classic,10.5,Thursday
97,2015-01-01,17:07,ital_supr,L,supreme,20.75,Thursday
98,2015-01-01,17:14,southw_ckn,S,chicken,12.75,Thursday
99,2015-01-01,17:14,four_cheese,L,veggie,17.95,Thursday
100,2015-01-01,17:15,green_garden,S,veggie,12.0,Thursday
101,2015-01-01,17:15,four_cheese,M,veggie,14.75,Thursday
102,2015-01-01,17:28,big_meat,S,classic,12.0,Thursday
103,2015-01-01,17:28,five_cheese,L,veggie,18.5,Thursday
104,2015-01-01,17:28,peppr_salami,M,supreme,16.5,Thursday
105,2015-01-01,17:28,mexicana,L,veggie,20.25,Thursday
106,2015-01-01,17:38,ital_supr,M,supreme,16.5,Thursday
107,2015-01-01,17:38,peppr_salami,L,supreme,20.75,Thursday
108,2015-01-01,17:38,ckn_alfredo,M,chicken,16.75,Thursday
109,2015-01-01,17:54,spin_pesto,S,veggie,12.5,Thursday
110,2015-01-01,17:55,four_cheese,L,veggie,17.95,Thursday
111,2015-01-01,17:55,hawaiian,S,classic,10.5,Thursday
112,2015-01-01,17:55,thai_ckn,M,chicken,16.75,Thursday
113,2015-01-01,18:25,thai_ckn,M,chicken,16.75,Thursday
114,2015-01-01,18:25,ckn_pesto,L,chicken,20.75,Thursday
115,2015-01-01,18:25,classic_dlx,L,classic,20.5,Thursday
116,2015-01-01,18:26,veggie_veg,S,veggie,12.0,Thursday
117,2015-01-01,18:26,southw_ckn,L,chicken,20.75,Thursday
118,2015-01-01,18:26,prsc_argla,L,supreme,20.75,Thursday
119,2015-01-01,18:26,spicy_ital,L,supreme,20.75,Thursday
120,2015-01-01,18:26,green_garden,S,veggie,12.0,Thursday
121,2015-01-01,18:26,ckn_pesto,M,chicken,16.75,Thursday
122,2015-01-01,18:33,sicilian,L,supreme,20.25,Thursday
123,2015-01-01,18:41,the_greek,XL,classic,25.5,Thursday
124,2015-01-01,18:48,bbq_ckn,L,chicken,20.75,Thursday
125,2015-01-01,18:48,pep_msh_pep,L,classic,17.5,Thursday
126,2015-01-01,18:53,spicy_ital,L,supreme,20.75,Thursday
127,2015-01-01,18:53,mexicana,L,veggie,20.25,Thursday
128,2015-01-01,18:53,hawaiian,L,classic,16.5,Thursday
129,2015-01-01,18:54,pep_msh_pep,S,classic,11.0,Thursday
130,2015-01-01,18:54,spinach_supr,M,supreme,16.5,Thursday
131,2015-01-01,19:01,prsc_argla,M,supreme,16.5,Thursday
132,2015-01-01,19:01,thai_ckn,L,chicken,20.75,Thursday
133,2015-01-01,19:03,peppr_salami,S,supreme,12.5,Thursday
134,2015-01-01,19:03,spicy_ital,L,supreme,20.75,Thursday
135,2015-01-01,19:07,southw_ckn,M,chicken,16.75,Thursday
136,2015-01-01,19:07,classic_dlx,M,classic,16.0,Thursday
137,2015-01-01,19:07,mediterraneo,L,veggie,20.25,Thursday
138,2015-01-01,19:10,classic_dlx,M,classic,16.0,Thursday
139,2015-01-01,19:30,five_cheese,L,veggie,18.5,Thursday
140,2015-01-01,19:30,pepperoni,M,classic,12.5,Thursday
141,2015-01-01,19:40,pep_msh_pep,S,classic,11.0,Thursday
142,2015-01-01,19:40,pepperoni,L,classic,15.25,Thursday
143,2015-01-01,19:40,ital_veggie,S,veggie,12.75,Thursday
144,2015-01-01,20:05,ckn_pesto,L,chicken,20.75,Thursday
145,2015-01-01,20:05,four_cheese,M,veggie,14.75,Thursday
146,2015-01-01,20:08,ital_supr,L,supreme,20.75,Thursday
147,2015-01-01,20:08,bbq_ckn,M,chicken,16.75,Thursday
148,2015-01-01,20:50,spinach_supr,M,supreme,16.5,Thursday
149,2015-01-01,20:50,bbq_ckn,M,chicken,16.75,Thursday
150,2015-01-01,20:51,pep_msh_pep,M,classic,14.5,Thursday
151,2015-01-01,20:52,big_meat,S,classic,12.0,Thursday
152,2015-01-01,21:16,spinach_supr,M,supreme,16.5,Thursday
153,2015-01-01,21:16,pep_msh_pep,S,classic,11.0,Thursday
154,2015-01-01,21:16,sicilian,S,supreme,12.25,Thursday
155,2015-01-01,21:16,spicy_ital,S,supreme,12.5,Thursday
156,2015-01-01,21:47,classic_dlx,M,classic,16.0,Thursday
157,2015-01-01,21:47,ital_cpcllo,M,classic,16.0,Thursday
158,2015-01-01,22:03,southw_ckn,L,chicken,20.75,Thursday
159,2015-01-01,22:07,ital_supr,L,supreme,20.75,Thursday
160,2015-01-01,22:07,classic_dlx,M,classic,16.0,Thursday
161,2015-01-01,22:07,ital_supr,M,supreme,16.5,Thursday
162,2015-01-01,22:12,bbq_ckn,L,chicken,20.75,Thursday
163,2015-01-02,11:38,soppressata,L,supreme,20.75,Friday
164,2015-01-02,11:38,ital_veggie,S,veggie,12.75,Friday
165,2015-01-02,11:40,thai_ckn,L,chicken,20.75,Friday
166,2015-01-02,11:57,spinach_fet,L,veggie,20.25,Friday
167,2015-01-02,11:58,thai_ckn,S,chicken,12.75,Friday
168,2015-01-02,12:01,mexicana,L,veggie,20.25,Friday
169,2015-01-02,12:01,spin_pesto,S,veggie,12.5,Friday
170,2015-01-02,12:01,spinach_supr,L,supreme,20.75,Friday
171,2015-01-02,12:01,five_cheese,L,veggie,18.5,Friday
172,2015-01-02,12:10,napolitana,L,classic,20.5,Friday
173,2015-01-02,12:10,ital_supr,S,supreme,12.5,Friday
